Id,Prediction
0,3945595.403423724
1,2974841.179097738
2,2086223.0339186932
3,2771915.3513159216
4,3228520.371049569
5,3734443.0164837
6,3471929.589660311
7,2425360.3366899695
8,4505565.796187741
9,4120232.5629646494
10,3822075.700930392
11,5706034.0558822
12,4088144.1101481337
13,4656740.03552022
14,3093847.0644841343
15,4436878.778094911
16,4093010.3849927997
17,2983941.2525108885
18,8910676.655913102
19,2865348.8119025896
20,2021189.9516998532
21,4424619.099096427
22,4536141.524535851
23,4798470.028300739
24,5723907.307376926
25,3484135.815525206
26,2983071.181776035
27,5123604.61515525
28,2392572.73814169
29,5050874.048960227
30,3471843.589367097
31,1999983.1975170276
32,2708402.5483247666
33,4600342.002971066
34,2461936.1737128603
35,4311250.28250318
36,3965666.9786784984
37,4509478.861926661
38,2936723.5085915383
39,3605097.2993454966
40,4758296.973131691
41,4541208.427627844
42,4708196.257607492
43,4416012.855412829
44,5162708.536358876
45,3724054.5856123003
46,2550801.5490781367
47,2066374.8629428449
48,4170407.6433772338
49,3404570.0707442397
50,3726854.61256141
51,2554093.9462533034
52,5666038.548781471
53,2762500.9256117465
54,3701665.5748728234
55,4172750.75572209
56,5655948.252835105
57,3388203.478737048
58,3831414.342316217
59,4307803.350226687
60,2099956.2903082385
61,3448714.2720614607
62,3865283.4199099797
63,2903926.5275715804
64,4801180.324370179
65,5625603.906153442
66,4797321.361451743
67,5857156.583163624
68,4478437.178898334
69,5118919.553886817
70,4219590.764312963
71,1957527.9631611947
72,4313255.615911611
73,3475762.149607166
74,6109363.749940341
75,4552515.864386535
76,4304410.173605562
77,4097337.418304232
78,5153813.693584537
79,3933257.653607906
80,5781470.423343728
81,5733022.290662101
82,3359248.1645238223
83,3872379.561810353
84,6673987.797886874
85,1749479.4679522447
86,4218270.513232823
87,7992290.50716197
88,4765075.061351426
89,2952757.925500585
90,5618885.7166162105
91,3523134.9688231912
92,3301104.693018613
93,2421391.3661538837
94,8955018.536795378
95,3119339.593581483
96,4398895.548973338
97,4046305.6902436796
98,3968737.9035319216
99,4844492.048025222
100,5338556.509033169
101,2627323.6452256194
102,3372564.1498249564
103,3602904.7303972472
104,3891408.302049592
105,2918745.2082082652
106,4353783.997517927
107,5747849.872037328
108,4400127.667309139
109,5200064.8086359445
110,5419320.577887877
111,3261335.2101500523
112,5757387.892641607
113,3944674.8641458764
114,3375997.398568222
115,4717874.309703988
116,2534581.0867680567
117,4145421.036140846
118,3952018.567846559
119,5084855.368054991
120,4713736.113452912
121,4693748.2560283765
122,4324510.350396098
123,4434410.971583576
124,2810369.170881238
125,3757481.8385764654
126,4703796.175860407
127,3844657.876679199
128,3737338.1823467836
129,3348713.755677103
130,1987760.5735982938
131,4541890.4105877085
132,4438651.205443241
133,3022487.5986274392
134,4482158.301692457
135,3039383.0774423
136,3683417.736668079
137,4136849.7628045357
138,3227451.0585456733
139,3539094.063519456
140,6259075.109341456
141,2568335.672023563
142,3841402.6092109117
143,2436006.992841667
144,5223810.103809878
145,3211220.780694392
146,5021602.025364806
147,3242186.642658776
148,4291262.209332953
149,5003777.157450403
150,4022983.589411531
151,2104409.0660296027
152,5974542.521003884
153,5800857.447861834
154,2894071.966419335
155,5087631.306360417
156,5179444.747507778
157,5553941.272949321
158,2969062.3793648053
159,3372046.302476762
160,2658242.8714286676
161,4158955.07009519
162,3190957.6622339035
163,4682659.454311044
164,5784381.154594157
165,2250261.7717488995
166,3923986.5772750964
167,2020203.0126657118
168,5075690.5087755285
169,4700131.1454288205
170,4136620.636996154
171,2804560.6966202594
172,3009355.7944424264
173,7856915.253832023
174,5246281.173367998
175,1773678.3169482015
176,5763718.241673516
177,5051384.694662391
178,3505555.6229118956
179,4072202.792152435
180,4065252.230816873
181,4036884.63731523
182,4641591.091836509
183,3979001.4543829546
184,4725472.375781922
185,3631434.240173219
186,4030638.5750917937
187,4588678.176656654
188,4912194.22544148
189,4479981.75291595
190,4432335.02404674
191,4629426.055370382
192,4638551.961988401
193,2826721.2000443754
194,4955990.6707932735
195,3421513.819584956
196,3706276.2626288733
197,2083128.010335863
198,3119836.5884651863
199,5442810.837125665
200,4153973.273482122
201,3565299.7743437234
202,4167719.8687615567
203,6925777.5590672875
204,4175397.8008797956
205,6087507.425635656
206,4364902.424114985
207,3815496.7196999835
208,4128102.598800613
209,3814629.535328841
210,5063053.582654816
211,4895177.451880114
212,3257186.610132364
213,2936063.5691396706
214,6576943.835928092
215,1994841.8575271175
216,4389499.7408047
217,4272108.693751416
218,4585428.943162792
219,2529559.840758643
220,7124321.565038657
221,5018351.810830714
222,4873958.166763634
223,3814629.535328841
224,5666038.548781471
225,4740657.026564863
226,2814582.0617030524
227,5699483.582056898
228,3381756.411463821
229,5296994.135290507
230,4242911.753756868
231,7807885.076492308
232,4019621.1113184025
233,3688867.75813168
234,3947192.8989901002
235,5054985.73230895
236,4265943.858484975
237,3328615.7773027816
238,3893786.4383948655
239,4405489.314897795
240,3899856.0922930306
241,4129061.0774417096
242,2669511.908839199
243,3374693.8266772693
244,5379115.83565561
245,3926555.769871954
246,4051964.355879155
247,5453817.45480733
248,3585967.4945975635
249,4878851.546902647
250,2871319.512962043
251,4734845.155561894
252,6676871.106531462
253,3442859.3652049117
254,3771646.761352295
255,3554752.9333757306
256,4736699.900598078
257,3859143.3907767674
258,2732670.483601869
259,3446146.215246926
260,4465865.35981962
261,2972770.7228641286
262,4829818.17571346
263,3850181.0000031083
264,1998677.0281385267
265,4577465.364524567
266,4187955.3421220183
267,9912781.488453012
268,4240638.447366863
269,3195851.459867706
270,4077154.4665097985
271,1762207.036100027
272,4397657.162658137
273,4132091.8702499676
274,4305628.477612616
275,4803228.972268713
276,4531120.560469432
277,5923438.403815172
278,4056534.125066498
279,4227154.103278986
280,4602893.298403406
281,3949201.474198353
282,3233395.7420503106
283,4322103.572402306
284,4582333.183660545
285,1987760.5735982938
286,4362122.750313961
287,4041043.1612881357
288,4565358.603226041
289,2753103.1709553637
290,3849901.286814887
291,4863239.9533485
292,2622109.755529123
293,4147914.052590044
294,3520544.033398602
295,5208705.165861284
296,6349054.55006001
297,7520952.329278292
298,3861566.459615915
299,4445290.971189995
300,4969611.92991564
301,4497940.440428806
302,8529024.089844495
303,6270397.432633268
304,4025947.561039612
305,5464382.3450564565
306,3551184.845408694
307,6140134.969130377
308,1759104.819397071
309,3956349.2264543646
310,4453818.353371322
311,3421178.4510910334
312,3381622.2265609433
313,3874493.8632091265
314,2182762.9944335045
315,2354185.0282852873
316,1815425.7882768987
317,4888768.866925643
318,5146545.732302219
319,2610379.493610627
320,2941030.4568657866
321,2595307.714355988
322,4617297.030898904
323,4145167.6642459906
324,4338112.1330512
325,3376427.114546704
326,4840074.587194219
327,4156021.8378592315
328,4803511.877305091
329,4144798.25127031
330,1770945.8980064355
331,5677439.786579089
332,5867175.017616371
333,4286703.581217666
334,4838503.379994045
335,4601850.912251614
336,2821399.5104498332
337,4172872.7489566407
338,3949201.474198353
339,2817729.888427512
340,4140153.813592001
341,4356132.835250538
342,4424944.154594864
343,4110143.981577606
344,5747849.872037328
345,3896121.8240461256
346,3704404.507921599
347,5805988.310424701
348,1931256.4246625362
349,6079575.383560563
350,4100143.6234616856
351,5797246.262403795
352,5445210.189106064
353,2635891.731787126
354,3201747.0123967193
355,2850644.040860575
356,4795714.044568477
357,4720815.628492344
358,4895177.451880114
359,4522865.771112274
360,3348713.755677103
361,4760968.003078887
362,4498694.318810206
363,4347751.389550633
364,4973829.249749107
365,2470426.7732075024
366,2291586.09065439
367,3843040.8934500595
368,3224917.859126943
369,5457894.350165106
370,3652083.5880982345
371,4104402.315442317
372,5747849.872037328
373,4855267.597354353
374,3296700.321769784
375,5459912.440460632
376,3229672.6672539515
377,3249049.986832481
378,4526753.788623453
379,4748392.968041153
380,5306270.136573525
381,3297414.735227063
382,2368844.4986743317
383,5117502.927960695
384,3090685.040519313
385,5763718.241673516
386,2556021.378713503
387,3700355.480243073
388,3982634.163766659
389,3996833.8533563805
390,6694586.109026787
391,2765377.517824119
392,3251077.0885591633
393,3716581.8055993645
394,4721026.740637885
395,2450183.3071925906
396,4128563.551327701
397,5472322.09414139
398,8974555.515654793
399,5321045.413190943
400,3300710.36652954
401,3724359.195539013
402,3309227.169001047
403,4145106.4997436265
404,2797559.5723711364
405,4503809.8048216645
406,4950148.3241979135
407,3934592.0769669763
408,1987760.5735982938
409,3778410.36297124
410,3204020.072636895
411,2801789.1406094725
412,4730394.1316697765
413,5180146.527504108
414,4769296.705003251
415,3707835.0509926663
416,4703374.442903505
417,2669511.908839199
418,4882112.82139759
419,2807623.8566915877
420,4331340.665484096
421,4845209.864576185
422,6219999.677327175
423,2608205.4168749526
424,4881615.644872377
425,4289490.035044342
426,4106575.5474459184
427,3300232.6973838876
428,4837650.321524212
429,3365875.3781709303
430,4001510.103816009
431,4095539.009971533
432,2663903.6043183897
433,3048702.584032895
434,3414957.499111484
435,4523818.067936917
436,3476244.846636031
437,3321292.5510380203
438,1950694.2225639776
439,5074267.857695838
440,4323034.328564542
441,4584257.5988051295
442,5223806.581140977
443,6059092.944347872
444,4567380.1011021575
445,4244245.764209722
446,5175178.720304085
447,3731149.9883854245
448,4342181.635098388
449,4916383.900864496
450,4824578.279540361
451,3322842.956100931
452,2386267.084526433
453,4184014.9853923055
454,4017451.1699863803
455,3585745.517643838
456,1983862.5429938496
457,3596454.353063672
458,3489332.7181944693
459,2926407.2385487678
460,5016504.74427853
461,3894275.870097216
462,4904459.249831138
463,1914950.3156604571
464,3836414.820092124
465,4267432.830925197
466,3539201.160092654
467,2945955.0597087103
468,3835443.2896414245
469,4157549.3906704704
470,3839554.777379211
471,3954333.6664986573
472,3400862.238778481
473,4201073.7671916755
474,4669812.370682561
475,3415175.4300414245
476,3028196.202285389
477,3469326.1622459963
478,3195622.7723007975
479,5681474.373283556
480,3325410.639980284
481,4898151.049662509
482,2817763.0285334657
483,4394679.452800509
484,5024560.925911539
485,3095074.778000457
486,5200143.742514973
487,5095023.221304084
488,5287714.990236949
489,3979325.6128752837
490,4634868.40799153
491,3095524.6752224653
492,4576227.086031921
493,4625769.169270751
494,3948058.879703448
495,3997118.5879094503
496,4638544.787238988
497,4056827.3850767505
498,4307887.881403398
499,4609425.600019654
500,4762132.836190517
501,2408915.8465311476
502,3849316.225891346
503,4697336.004202435
504,3209207.5603665616
505,4529266.859127017
506,2649984.5577554125
507,4427580.9816983575
508,2601565.3040880505
509,3953617.701057465
510,4700331.997978365
511,5249584.699613627
512,2188321.343296302
513,5064472.005051798
514,3207537.7144930847
515,2437850.7501125266
516,2783666.118369831
517,4824596.545789731
518,3926732.2365877205
519,4873122.582968047
520,3177687.213373095
521,5829189.126892201
522,4850588.757873935
523,4356468.709960055
524,4871548.8385759005
525,4654257.7290905155
526,1896040.91978549
527,5315474.990266452
528,6707793.74436148
529,4046305.6902436796
530,4088723.9065747657
531,2907755.171779879
532,4074469.258917164
533,3484135.815525206
534,4419045.2952195145
535,4134522.547717545
536,4725744.411044201
537,2437055.1118758437
538,3296464.7753134784
539,5427351.48801797
540,4085336.640525225
541,2704698.989487984
542,2992461.061793618
543,3755614.713908742
544,4066449.861014305
545,3780282.6505052373
546,2534581.0867680567
547,4076563.6484128423
548,2736718.3845384773
549,3718471.334645166
550,3484761.7651867187
551,4031239.232794912
552,3724005.6800851873
553,4377170.25451033
554,3832757.6060073175
555,6080656.119650749
556,2926407.2385487678
557,4220699.357225317
558,3012664.5812852457
559,3882099.7860439597
560,5672284.7182665905
561,4713115.004808366
562,2774727.209447601
563,4307994.143502902
564,2685877.8569144616
565,4715241.120681765
566,3357610.0701726023
567,6462102.681941749
568,4066658.7515887413
569,2980825.5328941774
570,5624627.2515837625
571,3792185.6968460646
572,3460941.983479517
573,4798953.707230338
574,3848289.590468043
575,2848423.116458757
576,5460186.708718923
577,4254114.16999883
578,3732700.0847761026
579,3920541.02037603
580,3179671.2321959445
581,3459090.4675038783
582,5687802.882383119
583,3720039.6585788145
584,5324112.512217686
585,5698027.008815773
